time,open,high,low,close
1382474700,189.7,189.99,189.65,189.65
1382474760,189.6,189.6,189.6,189.6
1382474820,189.65,189.65,189.38,189.38
1382474880,189.38,189.38,189.38,189.38
1382474940,189.65,189.65,189.13,189.13
1382475000,189.12,189.12,189.1,189.1
1382475060,189.06,189.06,188.98,188.98
1382475120,189,189,188.5,188.5
1382475180,188.5,188.5,188,188
1382475240,188,188,185.02,186
1382475300,186,186.39,186,186.39
1382475360,186.85,187.14,186.85,187.14
1382475420,187.14,188.02,187,187
1382475480,187.14,187.14,187.14,187.14
1382475540,188,188,188,188
1382475600,187.99,188.39,187.99,188.39
1382475660,NaN,NaN,NaN,NaN
1382475720,188,188.41,188,188.41
1382475780,NaN,NaN,NaN,NaN
1382475840,188.51,188.51,188.5,188.5
1382475900,188.51,188.51,188.51,188.51
1382475960,188.52,188.52,188.52,188.52
1382476020,188.52,188.52,188.51,188.51
1382476080,188.52,188.7,187.2,188.7
1382476140,188.69,188.69,188.69,188.69
1382476200,187.21,187.21,187.2,187.21
1382476260,187.2,187.99,187.2,187.99
1382476320,187.21,187.99,187.2,187.52
1382476380,187.52,187.52,187.26,187.26
1382476440,187.56,187.99,187.56,187.99
1382476500,NaN,NaN,NaN,NaN
1382476560,187.98,187.99,187.2,187.2
1382476620,187.99,187.99,187.99,187.99
1382476680,187.2,188,187.2,188
1382476740,187.23,187.23,187.23,187.23
1382476800,NaN,NaN,NaN,NaN
1382476860,188,188,188,188
1382476920,NaN,NaN,NaN,NaN
1382476980,188,188,188,188
1382477040,188.3,188.6,188.3,188.6
1382477100,188.6,188.6,188.48,188.48
1382477160,NaN,NaN,NaN,NaN
1382477220,187.76,187.76,187.76,187.76
1382477280,188.6,188.6,188.6,188.6
1382477340,187.81,187.81,187.81,187.81
1382477400,187.81,187.81,187.81,187.81
1382477460,187.81,187.81,187.81,187.81
1382477520,187.81,187.81,187.81,187.81
1382477580,187.61,187.95,187.61,187.95
1382477640,187.61,189.05,187.61,189.05
1382477700,189.03,189.03,189,189.01
1382477760,189.01,189.01,189,189
1382477820,189.02,189.02,189.02,189.02
1382477880,189,189,188.97,188.97
1382477940,188.08,188.08,188.08,188.08
1382478000,188.08,189.01,188.08,189.01
1382478060,188.49,188.5,188.49,188.5
1382478120,188.99,188.99,188.99,188.99
1382478180,188.99,188.99,188.5,188.5
1382478240,188.94,188.94,188.94,188.94
1382478300,NaN,NaN,NaN,NaN
1382478360,NaN,NaN,NaN,NaN
1382478420,188.98,189.15,188.98,189.15
